holdout,buffer_km,seed,learner,representation,source_track,target_track,oa,ba
north_holdout_5km_buffer,5.0,43,RF,I28,t88,t37,67.16666666666666,63.86305678645024
north_holdout_5km_buffer,5.0,43,RF,I28,t88,t139,68.58333333333333,67.99875868216135
north_holdout_5km_buffer,5.0,43,RF,I28,t139,t15,65.14583333333334,58.27253142656593
north_holdout_5km_buffer,5.0,43,RF,I28,t139,t37,70.9375,59.93339552144425
north_holdout_5km_buffer,5.0,43,RF,I28,t139,t88,65.125,62.94212810219897
north_holdout_5km_buffer,5.0,43,RF,I28_G29,t15,t37,76.64583333333333,75.18556131713962
north_holdout_5km_buffer,5.0,43,RF,I28_G29,t15,t88,77.66666666666666,77.90482910771743
north_holdout_5km_buffer,5.0,43,RF,I28_G29,t15,t139,78.33333333333333,74.31282146692276
north_holdout_5km_buffer,5.0,43,RF,I28_G29,t37,t15,72.625,74.41784336812529
north_holdout_5km_buffer,5.0,43,RF,I28_G29,t37,t88,73.60416666666667,76.78801793732063
north_holdout_5km_buffer,5.0,43,RF,I28_G29,t37,t139,76.25,75.1092869832648
north_holdout_5km_buffer,5.0,43,RF,I28_G29,t88,t15,71.89583333333334,70.00087291449778
north_holdout_5km_buffer,5.0,43,RF,I28_G29,t88,t37,70.29166666666666,70.12783281971896
north_holdout_5km_buffer,5.0,43,RF,I28_G29,t88,t139,70.91666666666666,73.40747066725505
north_holdout_5km_buffer,5.0,43,RF,I28_G29,t139,t15,67.95833333333333,64.80325140336956
north_holdout_5km_buffer,5.0,43,RF,I28_G29,t139,t37,74.1875,68.31407724889253
north_holdout_5km_buffer,5.0,43,RF,I28_G29,t139,t88,68.0,70.30076973596849
north_holdout_5km_buffer,5.0,43,SVC,I28,t15,t37,75.35416666666667,66.84562304768016
north_holdout_5km_buffer,5.0,43,SVC,I28,t15,t88,75.02083333333334,70.6583734994516
north_holdout_5km_buffer,5.0,43,SVC,I28,t15,t139,79.0,69.48044555564861
north_holdout_5km_buffer,5.0,43,SVC,I28,t37,t15,72.75,66.63553358015069
north_holdout_5km_buffer,5.0,43,SVC,I28,t37,t88,72.5625,69.68930790629135
north_holdout_5km_buffer,5.0,43,SVC,I28,t37,t139,77.33333333333333,72.37702416322709
north_holdout_5km_buffer,5.0,43,SVC,I28,t88,t15,72.85416666666666,63.4761560389708
north_holdout_5km_buffer,5.0,43,SVC,I28,t88,t37,71.29166666666666,64.77777185219948
north_holdout_5km_buffer,5.0,43,SVC,I28,t88,t139,73.52083333333333,67.54832551732356
north_holdout_5km_buffer,5.0,43,SVC,I28,t139,t15,69.54166666666667,55.14356316512836
north_holdout_5km_buffer,5.0,43,SVC,I28,t139,t37,73.125,51.68603001047381
north_holdout_5km_buffer,5.0,43,SVC,I28,t139,t88,67.45833333333333,56.1292022280836
north_holdout_5km_buffer,5.0,43,SVC,I28_G29,t15,t37,78.83333333333333,76.00089169018769
north_holdout_5km_buffer,5.0,43,SVC,I28_G29,t15,t88,78.77083333333333,78.01518601325253
north_holdout_5km_buffer,5.0,43,SVC,I28_G29,t15,t139,80.58333333333333,75.89797480092655
north_holdout_5km_buffer,5.0,43,SVC,I28_G29,t37,t15,76.1875,76.4789177637235
north_holdout_5km_buffer,5.0,43,SVC,I28_G29,t37,t88,75.91666666666667,77.78582760930036
north_holdout_5km_buffer,5.0,43,SVC,I28_G29,t37,t139,79.10416666666666,77.70085429013687
north_holdout_5km_buffer,5.0,43,SVC,I28_G29,t88,t15,75.6875,71.95288639729924
north_holdout_5km_buffer,5.0,43,SVC,I28_G29,t88,t37,75.04166666666666,73.5070641568789
north_holdout_5km_buffer,5.0,43,SVC,I28_G29,t88,t139,76.22916666666667,76.54888074418383
north_holdout_5km_buffer,5.0,43,SVC,I28_G29,t139,t15,72.02083333333333,65.38490326867566
north_holdout_5km_buffer,5.0,43,SVC,I28_G29,t139,t37,76.60416666666666,66.1543314146246
north_holdout_5km_buffer,5.0,43,SVC,I28_G29,t139,t88,70.875,71.44780341226593
south_holdout_5km_buffer,5.0,17,RF,I28,t15,t37,54.489583333333336,62.25774412712847
south_holdout_5km_buffer,5.0,17,RF,I28,t15,t88,52.79166666666667,65.6778401734363
south_holdout_5km_buffer,5.0,17,RF,I28,t15,t139,46.291666666666664,62.50229678130002
south_holdout_5km_buffer,5.0,17,RF,I28,t37,t15,57.52083333333333,65.63349320008629
south_holdout_5km_buffer,5.0,17,RF,I28,t37,t88,50.71875,65.31801513116108
south_holdout_5km_buffer,5.0,17,RF,I28,t37,t139,47.0,61.41435797359209
south_holdout_5km_buffer,5.0,17,RF,I28,t88,t15,55.85416666666667,62.30793773246399
south_holdout_5km_buffer,5.0,17,RF,I28,t88,t37,54.03125,58.22522075349757
south_holdout_5km_buffer,5.0,17,RF,I28,t88,t139,49.97916666666667,58.07481321437861
south_holdout_5km_buffer,5.0,17,RF,I28,t139,t15,54.37499999999999,64.35659943423563
south_holdout_5km_buffer,5.0,17,RF,I28,t139,t37,54.125,60.91778593126224
south_holdout_5km_buffer,5.0,17,RF,I28,t139,t88,49.98958333333333,61.355377687789726
south_holdout_5km_buffer,5.0,17,RF,I28_G29,t15,t37,57.21874999999999,70.61322706164692
south_holdout_5km_buffer,5.0,17,RF,I28_G29,t15,t88,55.729166666666664,73.74809186117307
south_holdout_5km_buffer,5.0,17,RF,I28_G29,t15,t139,49.270833333333336,71.28045016047629
south_holdout_5km_buffer,5.0,17,RF,I28_G29,t37,t15,60.572916666666664,73.870919948302
south_holdout_5km_buffer,5.0,17,RF,I28_G29,t37,t88,54.41666666666667,72.40824504068823
south_holdout_5km_buffer,5.0,17,RF,I28_G29,t37,t139,50.364583333333336,66.57902473284148
south_holdout_5km_buffer,5.0,17,RF,I28_G29,t88,t15,58.32291666666667,71.3022014461349
south_holdout_5km_buffer,5.0,17,RF,I28_G29,t88,t37,56.28125000000001,66.72908546843443
south_holdout_5km_buffer,5.0,17,RF,I28_G29,t88,t139,52.40625,66.68107628076709
south_holdout_5km_buffer,5.0,17,RF,I28_G29,t139,t15,57.21874999999999,70.6923177761307
south_holdout_5km_buffer,5.0,17,RF,I28_G29,t139,t37,57.32291666666667,69.14769485582607
south_holdout_5km_buffer,5.0,17,RF,I28_G29,t139,t88,52.385416666666664,69.2330601326252
south_holdout_5km_buffer,5.0,17,SVC,I28,t15,t37,50.66666666666667,60.09677629610223
south_holdout_5km_buffer,5.0,17,SVC,I28,t15,t88,49.177083333333336,64.5472041227367
south_holdout_5km_buffer,5.0,17,SVC,I28,t15,t139,44.625,63.06966934754568
south_holdout_5km_buffer,5.0,17,SVC,I28,t37,t15,54.53125,65.75491990391143
south_holdout_5km_buffer,5.0,17,SVC,I28,t37,t88,47.614583333333336,64.75917358778646
south_holdout_5km_buffer,5.0,17,SVC,I28,t37,t139,44.76041666666667,61.20279207362407
south_holdout_5km_buffer,5.0,17,SVC,I28,t88,t15,52.51041666666667,60.05832386233945
south_holdout_5km_buffer,5.0,17,SVC,I28,t88,t37,50.51041666666667,57.69438459940635
south_holdout_5km_buffer,5.0,17,SVC,I28,t88,t139,45.55208333333333,54.9054010276139
south_holdout_5km_buffer,5.0,17,SVC,I28,t139,t15,48.791666666666664,61.59752330915833
south_holdout_5km_buffer,5.0,17,SVC,I28,t139,t37,47.28125,56.74838389681225
south_holdout_5km_buffer,5.0,17,SVC,I28,t139,t88,43.03125,57.25472675611499
