learner,representation,source_track,seed,params,in_track_oa,cross_track_oa,in_track_ba,cross_track_ba,transfer_gap_oa,transfer_gap_ba
SVC,F12,t139,17,"{'C': 1.0, 'gamma_mult': 1.0}",75.03124999999999,71.48611111111111,77.3114928979737,71.50866022343081,3.5451388888888715,5.802832674542884
SVC,I28_G29,t15,17,"{'C': 10.0, 'gamma_mult': 0.1}",77.35416666666667,73.11458333333333,79.87179354980286,73.56349463000605,4.239583333333343,6.308298919796812
SVC,I28_G29,t37,17,"{'C': 10.0, 'gamma_mult': 0.1}",75.45833333333333,73.28472222222223,76.0474020270187,76.8900878391957,2.1736111111111,-0.8426858121769953
SVC,I28_G29,t88,17,"{'C': 10.0, 'gamma_mult': 0.1}",74.98958333333333,72.64930555555556,76.29257210516523,72.28438369339398,2.3402777777777715,4.008188411771258
SVC,I28_G29,t139,17,"{'C': 10.0, 'gamma_mult': 0.1}",75.72916666666666,72.34722222222223,78.14743446096475,71.61544080700831,3.3819444444444287,6.531993653956434
RF,I8,t15,29,"{'max_features': 'sqrt', 'min_samples_leaf': 5}",73.40625,70.76041666666667,66.97389080206572,65.25309603771423,2.6458333333333286,1.7207947643514956
RF,I8,t37,29,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",71.78125,67.14583333333333,67.32620799027849,66.39835745841798,4.635416666666671,0.9278505318605141
RF,I8,t88,29,"{'max_features': 0.5, 'min_samples_leaf': 1}",70.88541666666667,68.23958333333333,69.60256913439032,63.6485692328655,2.645833333333343,5.953999901524824
RF,I8,t139,29,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",71.89583333333333,67.38194444444444,69.72265402685606,60.276034451253814,4.513888888888886,9.446619575602249
RF,I28,t15,29,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",74.64583333333333,71.30555555555556,70.15911025810566,67.24906610091107,3.3402777777777715,2.9100441571945908
RF,I28,t37,29,"{'max_features': 'sqrt', 'min_samples_leaf': 5}",72.76041666666666,69.03124999999999,68.36054909113965,68.92679327459952,3.7291666666666714,-0.5662441834598724
RF,I28,t88,29,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",72.42708333333333,70.15972222222224,70.06207207808342,65.44341561548475,2.267361111111086,4.618656462598665
RF,I28,t139,29,"{'max_features': 1.0, 'min_samples_leaf': 1}",73.31250000000001,68.60416666666667,71.03329703481445,63.16161013917587,4.708333333333343,7.871686895638582
RF,I8_G9,t15,29,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",75.4375,72.02083333333333,77.5648401336545,73.62940905514948,3.4166666666666714,3.935431078505019
RF,I8_G9,t37,29,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",73.38541666666666,70.80208333333331,74.56934227963785,74.35188445466956,2.583333333333343,0.21745782496829236
RF,I8_G9,t88,29,"{'max_features': 0.5, 'min_samples_leaf': 1}",73.13541666666666,69.84027777777777,75.99763933868836,71.97256450955888,3.2951388888888857,4.02507482912948
RF,I8_G9,t139,29,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",73.59375,69.60069444444444,76.21413330830138,69.4894373576577,3.993055555555557,6.724695950643678
RF,F12,t15,29,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",75.43749999999999,72.31597222222223,77.27917449928783,73.79483755067712,3.1215277777777573,3.484336948610718
RF,F12,t37,29,"{'max_features': 0.5, 'min_samples_leaf': 1}",73.16666666666669,70.90972222222223,74.44033729513396,74.22838402310083,2.256944444444457,0.21195327203312786
RF,F12,t88,29,"{'max_features': 0.5, 'min_samples_leaf': 1}",73.29166666666667,70.05555555555554,76.382240298728,72.04371934127245,3.2361111111111285,4.338520957455543
RF,F12,t139,29,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",74.26041666666666,69.80902777777777,76.76124908417944,69.80104160716716,4.451388888888886,6.9602074770122755
RF,I28_G29,t15,29,"{'max_features': 0.5, 'min_samples_leaf': 1}",76.48958333333334,72.60763888888889,78.84516625133111,73.68529044962399,3.881944444444457,5.159875801707116
RF,I28_G29,t37,29,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",74.27083333333333,71.93055555555556,75.11286722284744,75.85181094036591,2.3402777777777715,-0.7389437175184668
RF,I28_G29,t88,29,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",73.94791666666669,71.38541666666667,75.73195580467255,71.53571019162416,2.562500000000014,4.19624561304839
RF,I28_G29,t139,29,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",74.94791666666667,70.59375000000003,76.78031993341143,69.77311706079608,4.354166666666643,7.007202872615352
SVC,I8,t15,29,"{'C': 10.0, 'gamma_mult': 0.1}",74.64583333333333,71.35069444444444,68.61363917133201,65.83680608834145,3.2951388888888857,2.7768330829905636
SVC,I8,t37,29,"{'C': 100.0, 'gamma_mult': 0.1}",73.10416666666667,70.0173611111111,65.41281435235125,66.22010157667864,3.0868055555555713,-0.8072872243273963
SVC,I8,t88,29,"{'C': 10.0, 'gamma_mult': 0.1}",73.13541666666667,71.43402777777779,69.19699018318245,63.65959684572197,1.7013888888888857,5.537393337460479
