learner,representation,source,target,is_cross,oa,ba_block,ba_pooled
RF,Base8_Raw_g12,t139,t139,False,72.70833333333333,72.5931300346861,81.26600869006508
RF,F2_D12,t15,t15,False,74.78125,74.62906654832808,81.72386708444085
RF,F2_D12,t15,t37,True,72.55208333333333,69.17777949622847,77.92799561430465
RF,F2_D12,t15,t88,True,71.53125,71.78460615146061,80.22887131871474
RF,F2_D12,t15,t139,True,71.51041666666667,67.27773879295371,77.09999828868222
RF,F2_D12,t37,t15,True,71.0625,73.61852896471139,81.4410182854999
RF,F2_D12,t37,t37,False,71.67708333333334,70.03006364338628,79.91109214645024
RF,F2_D12,t37,t88,True,67.41666666666667,71.40306455104259,80.22699400890039
RF,F2_D12,t37,t139,True,71.03125,69.31413805788006,78.99313918709426
RF,F2_D12,t88,t15,True,71.91666666666666,73.42979645402211,78.99079818315518
RF,F2_D12,t88,t37,True,68.89583333333333,67.68048400943128,76.75233747476973
RF,F2_D12,t88,t88,False,72.5,73.192148550944,80.80348379699777
RF,F2_D12,t88,t139,True,69.33333333333334,68.88847258946613,77.11245704211058
RF,F2_D12,t139,t15,True,66.5,68.47872220976262,76.27968499371714
RF,F2_D12,t139,t37,True,70.17708333333333,68.71548426145351,77.77731742248542
RF,F2_D12,t139,t88,True,65.0,68.88260368111078,77.58451500272531
RF,F2_D12,t139,t139,False,72.85416666666666,72.76093417005033,81.32648007082597
SVC,Full_Intensity_28,t15,t15,False,71.23958333333333,69.13238532449863,76.59339547249272
SVC,Full_Intensity_28,t15,t37,True,70.78125,66.02660260456761,74.65253977978978
SVC,Full_Intensity_28,t15,t88,True,66.40625,66.45192769233232,73.43600406811835
SVC,Full_Intensity_28,t15,t139,True,68.58333333333333,62.40022768154396,71.53489847040491
SVC,Full_Intensity_28,t37,t15,True,66.17708333333333,66.54824303117755,71.86511298869692
SVC,Full_Intensity_28,t37,t37,False,69.58333333333333,68.21137507714333,74.61459523750213
SVC,Full_Intensity_28,t37,t88,True,60.739583333333336,65.41465898312354,70.96173635124174
SVC,Full_Intensity_28,t37,t139,True,66.47916666666667,62.212516421140556,67.28344530966666
SVC,Full_Intensity_28,t88,t15,True,68.91666666666667,66.88873318387549,69.75931564810436
SVC,Full_Intensity_28,t88,t37,True,68.41666666666667,62.92972242047691,69.18784272964075
SVC,Full_Intensity_28,t88,t88,False,69.44791666666667,66.44167052156219,72.8720556912126
SVC,Full_Intensity_28,t88,t139,True,66.75,61.099222124071225,69.31132140579685
SVC,Full_Intensity_28,t139,t15,True,63.083333333333336,62.51113209173207,67.1192875205002
SVC,Full_Intensity_28,t139,t37,True,67.90625,63.10722161643,64.11492133586513
SVC,Full_Intensity_28,t139,t88,True,60.42708333333333,62.68446113717484,67.24822442518715
SVC,Full_Intensity_28,t139,t139,False,70.64583333333333,69.60866394585396,75.954113900072
SVC,Base8_Raw_g12,t15,t15,False,74.13541666666667,74.10069052755075,82.08053372936695
SVC,Base8_Raw_g12,t15,t37,True,72.27083333333333,69.63853843059661,78.7406936508589
SVC,Base8_Raw_g12,t15,t88,True,70.5625,72.31112465127397,80.7873884270672
SVC,Base8_Raw_g12,t15,t139,True,70.22916666666667,66.92196332884511,76.26535158862133
SVC,Base8_Raw_g12,t37,t15,True,69.66666666666667,72.57503903878118,80.20430234408659
SVC,Base8_Raw_g12,t37,t37,False,71.36458333333333,71.20198123585489,80.78738051894018
SVC,Base8_Raw_g12,t37,t88,True,66.58333333333334,72.34493501436559,80.42284246683892
SVC,Base8_Raw_g12,t37,t139,True,69.04166666666667,69.66875791138862,75.86144385744068
