stratum,learner,representation,source_track,target_track,pixels,oa,ba
Full_U2_Support,SVC,I28,t139,t88,9600,63.59375000000001,50.02758315472291
Consensus_C2_Subpopulation,SVC,I28,t139,t88,4832,67.81870860927152,58.37784347161114
Non_Consensus_Disputed_Subpopulation,SVC,I28,t139,t88,4768,59.312080536912745,43.43541070162769
Full_U2_Support,SVC,I28_G29,t15,t37,9600,66.11458333333333,55.444555101926674
Consensus_C2_Subpopulation,SVC,I28_G29,t15,t37,4832,77.00745033112582,70.50100940114682
Non_Consensus_Disputed_Subpopulation,SVC,I28_G29,t15,t37,4768,55.075503355704704,42.38877019666924
Full_U2_Support,SVC,I28_G29,t15,t88,9600,68.25,58.73275754462737
Consensus_C2_Subpopulation,SVC,I28_G29,t15,t88,4832,74.31705298013244,72.20058636878619
Non_Consensus_Disputed_Subpopulation,SVC,I28_G29,t15,t88,4768,62.1015100671141,46.62022538822018
Full_U2_Support,SVC,I28_G29,t15,t139,9600,64.61458333333333,55.53430750611247
Consensus_C2_Subpopulation,SVC,I28_G29,t15,t139,4832,75.7864238410596,71.6687688693347
Non_Consensus_Disputed_Subpopulation,SVC,I28_G29,t15,t139,4768,53.292785234899334,40.9812259100096
Full_U2_Support,SVC,I28_G29,t37,t15,9600,67.92708333333334,63.57888380913073
Consensus_C2_Subpopulation,SVC,I28_G29,t37,t15,4832,76.30380794701986,79.7361509829055
Non_Consensus_Disputed_Subpopulation,SVC,I28_G29,t37,t15,4768,59.437919463087255,48.96836476151661
Full_U2_Support,SVC,I28_G29,t37,t88,9600,65.73958333333333,60.92232470643236
Consensus_C2_Subpopulation,SVC,I28_G29,t37,t88,4832,71.83360927152319,75.77209487626592
Non_Consensus_Disputed_Subpopulation,SVC,I28_G29,t37,t88,4768,59.56375838926174,47.37857073639067
Full_U2_Support,SVC,I28_G29,t37,t139,9600,64.79166666666667,57.650508579956906
Consensus_C2_Subpopulation,SVC,I28_G29,t37,t139,4832,76.09685430463577,73.6459031811469
Non_Consensus_Disputed_Subpopulation,SVC,I28_G29,t37,t139,4768,53.33473154362416,43.63824726612561
Full_U2_Support,SVC,I28_G29,t88,t15,9600,66.97916666666667,59.83032235618355
Consensus_C2_Subpopulation,SVC,I28_G29,t88,t15,4832,76.20033112582782,75.15743334706232
Non_Consensus_Disputed_Subpopulation,SVC,I28_G29,t88,t15,4768,57.63422818791947,46.41846383970069
Full_U2_Support,SVC,I28_G29,t88,t37,9600,64.375,55.902797629693914
Consensus_C2_Subpopulation,SVC,I28_G29,t88,t37,4832,74.95860927152319,73.20306939039457
Non_Consensus_Disputed_Subpopulation,SVC,I28_G29,t88,t37,4768,53.64932885906041,40.096326066525165
Full_U2_Support,SVC,I28_G29,t88,t139,9600,64.0625,54.83231868861177
Consensus_C2_Subpopulation,SVC,I28_G29,t88,t139,4832,75.10347682119205,72.29367863654501
Non_Consensus_Disputed_Subpopulation,SVC,I28_G29,t88,t139,4768,52.873322147651,38.893810515630065
Full_U2_Support,SVC,I28_G29,t139,t15,9600,66.79166666666667,60.0488215242272
Consensus_C2_Subpopulation,SVC,I28_G29,t139,t15,4832,74.37913907284768,73.1563405455411
Non_Consensus_Disputed_Subpopulation,SVC,I28_G29,t139,t15,4768,59.10234899328859,48.92318825581744
Full_U2_Support,SVC,I28_G29,t139,t37,9600,65.47916666666667,53.54231066155847
Consensus_C2_Subpopulation,SVC,I28_G29,t139,t37,4832,76.3658940397351,70.48306600305631
Non_Consensus_Disputed_Subpopulation,SVC,I28_G29,t139,t37,4768,54.446308724832214,38.68819613005158
Full_U2_Support,SVC,I28_G29,t139,t88,9600,65.41666666666667,55.79445227247929
Consensus_C2_Subpopulation,SVC,I28_G29,t139,t88,4832,70.15728476821192,68.51415714940087
Non_Consensus_Disputed_Subpopulation,SVC,I28_G29,t139,t88,4768,60.61241610738255,44.575264148662235
